Profit and Loss by Month,,,,,,,,
Sandbox Company_US_1,,,,,,,,
"January 1-July 31, 2025",,,,,,,,

Distribution account,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,July 2025,Total
Income,,,,,,,,
Design income,,,,,,"2,250.00",,"2,250.00"
Discounts given,,,,,,-89.50,,-89.50
Landscaping Services,,,190.00,90.00,400.00,710.00,87.50,"1,477.50"
Job Materials,,,,,,,,0.00
Fountains and Garden Lighting,,,,323.00,422.00,"1,454.00",47.50,"2,246.50"
Plants and Soil,,,131.25,,,"2,120.72",100.00,"2,351.97"
Sprinklers and Drip Systems,,,,108.00,,30.00,,138.00
Total for Job Materials,0.00,0.00,131.25,431.00,422.00,"3,604.72",147.50,"$4,736.47"
Labor,,,,,,,,0.00
Installation,,,,,,250.00,,250.00
Maintenance and Repair,,,,,50.00,,,50.00
Total for Labor,0.00,0.00,0.00,0.00,50.00,250.00,0.00,$300.00
Total for Landscaping Services,0.00,0.00,321.25,521.00,872.00,"4,564.72",235.00,"$6,513.97"
Pest Control Services,,,70.00,,70.00,-30.00,,110.00
Sales of Product Income,,,,,,44.00,868.75,912.75
Services,,,,,,503.55,,503.55
Total for Income,0.00,0.00,391.25,521.00,942.00,"7,242.77","1,103.75","$10,200.77"
Cost of Goods Sold,,,,,,,,
Cost of Goods Sold,,,,,,,405.00,405.00
Total for Cost of Goods Sold,0.00,0.00,0.00,0.00,0.00,0.00,405.00,$405.00
Gross Profit,0.00,0.00,391.25,521.00,942.00,"7,242.77",698.75,"$9,795.77"
Expenses,,,,,,,,
Advertising,,,,,,74.86,,74.86
Automobile,,,,,,39.98,73.98,113.96
Fuel,,,,,116.56,180.29,52.56,349.41
Total for Automobile,0.00,0.00,0.00,0.00,116.56,220.27,126.54,$463.37
Equipment Rental,,,,,,112.00,,112.00
Insurance,,,,,,241.23,,241.23
Job Expenses,,,,,108.09,46.98,,155.07
Job Materials,,,,,,,,0.00
Decks and Patios,,,,,,191.64,42.40,234.04
Plants and Soil,,,,158.08,89.09,82.45,23.50,353.12
Sprinklers and Drip Systems,,,,,,215.66,,215.66
Total for Job Materials,0.00,0.00,0.00,158.08,89.09,489.75,65.90,$802.82
Total for Job Expenses,0.00,0.00,0.00,158.08,197.18,536.73,65.90,$957.89
Legal & Professional Fees,,,,,,,75.00,75.00
Accounting,,,,250.00,,75.00,315.00,640.00
Bookkeeper,,,,,55.00,,,55.00
Lawyer,,300.00,,,,100.00,,400.00
Total for Legal & Professional Fees,0.00,300.00,0.00,250.00,55.00,175.00,390.00,"$1,170.00"
Maintenance and Repair,,,,,,185.00,,185.00
Equipment Repairs,,,,,,755.00,,755.00
Total for Maintenance and Repair,0.00,0.00,0.00,0.00,0.00,940.00,0.00,$940.00
Meals and Entertainment,,,,,,9.52,18.97,28.49
Office Expenses,,,,,,18.08,,18.08
Rent or Lease,,,,,,900.00,,900.00
Utilities,,,,,,,,0.00
Gas and Electric,,,,,86.44,114.09,,200.53
Telephone,,,,,56.50,74.36,,130.86
Total for Utilities,0.00,0.00,0.00,0.00,142.94,188.45,0.00,$331.39
Total for Expenses,0.00,300.00,0.00,408.08,511.68,"3,416.14",601.41,"$5,237.31"
Net Operating Income,0.00,-300.00,391.25,112.92,430.32,"3,826.63",97.34,"$4,558.46"
Other Income,,,,,,,,
Other Expenses,,,,,,,,
Miscellaneous,,,,,250.00,"2,666.00",,"2,916.00"
Total for Other Expenses,0.00,0.00,0.00,0.00,250.00,"2,666.00",0.00,"$2,916.00"
Net Other Income,0.00,0.00,0.00,0.00,-250.00,"-2,666.00",0.00,"-$2,916.00"
Net Income,0.00,-300.00,391.25,112.92,180.32,"1,160.63",97.34,"$1,642.46"



"Accrual Basis Sunday, July 27, 2025 09:02 PM GMTZ",,,,,,,,
