Account List,,,,
Sandbox Company_US_9,,,,

Full name,Type,Detail type,Description,Total balance
Retained Earnings,Equity,Retained Earnings,,
Advertising,Expenses,Advertising/Promotional,,
Bank Charges,Expenses,Bank Charges,,
Commissions & fees,Expenses,Other Miscellaneous Service Cost,,
Disposal Fees,Expenses,Other Miscellaneous Service Cost,,
Dues & Subscriptions,Expenses,Dues & subscriptions,,
Insurance,Expenses,Insurance,,
Insurance - Liability,Expenses,Insurance,,
Legal & Professional Fees,Expenses,Legal & Professional Fees,,
Meals and Entertainment,Expenses,Entertainment Meals,,
Office Expenses,Expenses,Office/General Administrative Expenses,,
Promotional,Expenses,Advertising/Promotional,,
Rent or Lease,Expenses,Rent or Lease of Buildings,,
Repair & Maintenance,Expenses,Repair & Maintenance,,
Stationery & Printing,Expenses,Office/General Administrative Expenses,,
Supplies,Expenses,Supplies & Materials,,
Taxes & Licenses,Expenses,Taxes Paid,,
Tools,Expenses,Supplies & Materials,,
Travel,Expenses,Travel,,
Travel Meals,Expenses,Travel Meals,,
Uncategorized Expense,Expenses,Other Miscellaneous Service Cost,,
Uncategorized Expense-1,Expenses,Other Miscellaneous Service Cost,,
Uncategorized Expense-1,Expenses,Other Miscellaneous Service Cost,,
Utilities,Expenses,Utilities,,
Billable Expense Income,Income,Service/Fee Income,,
Discounts,Income,Discounts/Refunds Given,,
Gross Receipts,Income,Sales of Product Income,,
Refunds-Allowances,Income,Discounts/Refunds Given,,
Sales,Income,Sales of Product Income,,
Services,Income,Service/Fee Income,,
Uncategorized Income,Income,Service/Fee Income,,
Prepaid Expenses,Other Current Assets,Prepaid Expenses,,
Uncategorized Asset,Other Current Assets,Other Current Assets,,
Undeposited Funds,Other Current Assets,Undeposited Funds,,
Miscellaneous,Other Expense,Other Miscellaneous Expense,,
Penalties & Settlements,Other Expense,Penalties & Settlements,,
Interest Earned,Other Income,Interest Earned,,
Other Portfolio Income,Other Income,Other Miscellaneous Income,,
TOTAL,,,,$0.00



"Accrual Basis Sunday, July 27, 2025 07:24 PM GMTZ",,,,
